hebrew,english
שלושים,thirty
ארבעים,forty
חמישים,fifty
שישים,sixty
שבעים,seventy
שמונים,eighty
תשעים,ninety
מאה,hundred
אלף,thousand
מיליון,million
ראשון,first
שני,second
שלישי,third
רביעי,fourth
חמישי,fifth
אוכל,food
לחם,bread
חלב,milk
גבינה,cheese
ביצה,egg
בשר,meat
עוף,chicken
דג,fish
ירק,vegetable
פרי,fruit
תפוח,apple
בננה,banana
תפוז,orange
ענבים,grapes
תות,strawberry
אבטיח,watermelon
מלון,melon
אגס,pear
אפרסק,peach
שזיף,plum
דובדבן,cherry
לימון,lemon
אשכולית,grapefruit
קפה,coffee
תה,tea
מיץ,juice
סוכר,sugar
מלח,salt
פלפל,pepper
שמן,oil
חמאה,butter
אורז,rice
פסטה,pasta
פיצה,pizza
המבורגר,hamburger
סלט,salad
מרק,soup
עוגה,cake
עוגיה,cookie
גלידה,ice cream
שוקולד,chocolate
ממתק,candy
בית ספר,school
מורה,teacher
תלמיד,student
כיתה,classroom
שיעור,lesson
מבחן,test
ציון,grade
ספריה,library
אוניברסיטה,university
מכללה,college
תואר,degree
לימודים,studies
מדע,science
מתמטיקה,mathematics
היסטוריה,history
גיאוגרפיה,geography
פיזיקה,physics
כימיה,chemistry
ביולוגיה,biology
ספרות,literature
אמנות,art
מוזיקה,music
ספורט,sport
שפה,language
עברית,Hebrew
אנגלית,English
ערבית,Arabic
רוסית,Russian
צרפתית,French
ספרדית,Spanish
גרמנית,German
איטלקית,Italian
סינית,Chinese
יפנית,Japanese
רופא,doctor
אחות,nurse
בית חולים,hospital
מחלה,disease
כאב,pain
תרופה,medicine
בריאות,health
חולה,sick
בריא,healthy
טיפול,treatment
ניתוח,surgery
רופא שיניים,dentist
משקפיים,glasses
חום,fever
שיעול,cough
כרטיס,ticket
מטוס,airplane
רכבת,train
אוטובוס,bus
מכונית,car
אופניים,bicycle
אופנוע,motorcycle
מונית,taxi
נמל תעופה,airport
תחנה,station
נסיעה,trip
טיול,tour
חופשה,vacation
מלון,hotel
חדר,room
מיטה,bed
כרית,pillow
שמיכה,blanket
ארון,closet
מקלחת,shower
אמבטיה,bathtub
סבון,soap
מגבת,towel
מסרק,comb
מברשת,brush
משחת שיניים,toothpaste
מברשת שיניים,toothbrush
מראה,mirror
שעון,clock
טלפון,phone
מחשב,computer
אינטרנט,internet
מייל,email
הודעה,message
תמונה,picture
וידאו,video
מצלמה,camera
טלוויזיה,television
רדיו,radio
מוזיקה,music
שיר,song
זמר,singer
להקה,band
קונצרט,concert
סרט,movie
קולנוע,cinema
תיאטרון,theater
שחקן,actor
שחקנית,actress
במאי,director
משחק,game
קלפים,cards
כדור,ball
כדורגל,soccer
כדורסל,basketball
טניס,tennis
שחייה,swimming
ריצה,running
אימון,training
מאמן,coach
קבוצה,team
ניצחון,victory
הפסד,loss
תוצאה,result
משרד,office
עבודה,work
מנהל,manager
עובד,employee
פגישה,meeting
פרויקט,project
דוח,report
מצגת,presentation
משכורת,salary
חופשה,vacation
פנסיה,pension
כסף,money
שקל,shekel
דולר,dollar
יורו,euro
מחיר,price
עלות,cost
הנחה,discount
מכירה,sale
קניות,shopping
חנות,store
סופרמרקט,supermarket
שוק,market
קניון,mall
מסעדה,restaurant
בית קפה,cafe
בר,bar
תפריט,menu
מנה,dish
מלצר,waiter
חשבון,bill
טיפ,tip
בנק,bank
חשבון בנק,bank account
כרטיס אשראי,credit card
הלוואה,loan
ריבית,interest
חיסכון,savings
השקעה,investment
מס,tax
ממשלה,government
שר,minister
ראש ממשלה,prime minister
נשיא,president
כנסת,parliament
חוק,law
משפט,trial
שופט,judge
עורך דין,lawyer
משטרה,police
שוטר,police officer
כלא,prison
עבירה,crime
גנב,thief
גניבה,theft
רצח,murder
רוצח,murderer
צבא,army
חייל,soldier
קצין,officer
מלחמה,war
שלום,peace
הסכם,agreement
חוזה,contract
זכות,right
חובה,duty
חירות,freedom
שוויון,equality
צדק,justice
דמוקרטיה,democracy
בחירות,elections
מפלגה,party
קול,vote
מועמד,candidate
ניצחון,victory
מזג אוויר,weather
טמפרטורה,temperature
חום,heat
קור,cold
גשם,rain
שלג,snow
רוח,wind
סערה,storm
ברק,lightning
רעם,thunder
ענן,cloud
שמש,sun
ירח,moon
כוכב,star
קשת,rainbow
ערפל,fog
קיץ,summer
חורף,winter
אביב,spring
סתיו,autumn
חג,holiday
יום הולדת,birthday
חתונה,wedding
בר מצווה,bar mitzvah
בת מצווה,bat mitzvah
לוויה,funeral
מסיבה,party
אורח,guest
מתנה,gift
פרח,flower
עוגה,cake
שמפניה,champagne
ריקוד,dance
שמלה,dress
חליפה,suit
עניבה,tie
נעליים,shoes
גרביים,socks
מכנסיים,pants
חולצה,shirt
חצאית,skirt
מעיל,coat
כובע,hat
צעיף,scarf
כפפות,gloves
תיק,bag
ארנק,wallet
חגורה,belt
שעון יד,watch
טבעת,ring
שרשרת,necklace
עגילים,earrings
צמיד,bracelet
בושם,perfume
איפור,makeup
שפתון,lipstick
תספורת,haircut
ספר,barber
מספרה,barbershop
מעצב שיער,hairdresser
צבע שיער,hair color
קעקוע,tattoo
פירסינג,piercing
ספורט,sport
כושר,fitness
חדר כושר,gym
משקל,weight
דיאטה,diet
ויטמין,vitamin
חלבון,protein
פחמימה,carbohydrate
שומן,fat
קלוריה,calorie
תזונה,nutrition
בריאות,health
מחלה,disease
וירוס,virus
חיידק,bacteria
זיהום,infection
שפעת,flu
הצטננות,cold
אלרגיה,allergy
כאב ראש,headache
כאב בטן,stomachache
כאב גב,backache
שבר,fracture
פצע,wound
דימום,bleeding
חבישה,bandage
תחבושת,dressing
גבס,cast
קביים,crutches
כיסא גלגלים,wheelchair
אמבולנס,ambulance
חירום,emergency
הצלה,rescue
כבאי,firefighter
כיבוי אש,fire fighting
טביעה,drowning
מציל,lifeguard
עזרה ראשונה,first aid
החייאה,resuscitation
דופק,pulse
לחץ דם,blood pressure
סוכרת,diabetes
לב,heart
ריאה,lung
כבד,liver
כליה,kidney
קיבה,stomach
מעי,intestine
מוח,brain
עצם,bone
שריר,muscle
עור,skin
דם,blood
ורידים,veins
עורקים,arteries
חוליה,vertebra
גולגולת,skull
צלע,rib
אגן,pelvis
ירך,thigh
ברך,knee
קרסול,ankle
כף רגל,foot
אצבע,toe
כתף,shoulder
מרפק,elbow
פרק כף יד,wrist
כף יד,palm
אצבע,finger
ציפורן,nail
שיער,hair
גבה,eyebrow
ריס,eyelash
אוזן,ear
אף,nose
פה,mouth
שפה,lip
שן,tooth
לשון,tongue
סנטר,chin
לחי,cheek
מצח,forehead
צוואר,neck
גרון,throat
חזה,chest
בטן,belly
גב,back
מותן,waist
ישבן,buttocks
רגל,leg
זרוע,arm
אגרוף,fist
כף,palm
טבעת,ring finger
אמה,middle finger
אצבע,index finger
זרת,pinky
בוהן,thumb
גוף,body
גובה,height
משקל,weight
גיל,age
מין,gender
זכר,male
נקבה,female
תינוק,baby
פעוט,toddler
נער,teenager
מבוגר,adult
קשיש,elderly
דור,generation
משפחה,family
הורים,parents
סבא וסבתא,grandparents
נכד,grandson
נכדה,granddaughter
דוד,uncle
דודה,aunt
בן דוד,cousin
חתן,groom
כלה,bride
בעל,husband
אישה,wife
גרוש,divorced
אלמן,widower
אלמנה,widow
רווק,bachelor
רווקה,single woman
זוג,couple
ידיד,friend
חבר,friend
חברה,girlfriend
ידידות,friendship
אהבה,love
רומן,romance
נשיקה,kiss
חיבוק,hug
מתנה,gift
פרח,flower
שוקולד,chocolate
יהלום,diamond
טבעת,ring
נישואין,marriage
ירח דבש,honeymoon
משפחה,family
ילדים,children
חינוך,education
גן ילדים,kindergarten
בית ספר,school
תיכון,high school
אוניברסיטה,university
תואר,degree
מקצוע,profession
קריירה,career
הצלחה,success
כישלון,failure
ניסיון,experience
כישורים,skills
כישרון,talent
יכולת,ability
מאמץ,effort
עבודה קשה,hard work
התמדה,persistence
סבלנות,patience
אומץ,courage
פחד,fear
דאגה,worry
לחץ,stress
מתח,tension
רגיעה,relaxation
מנוחה,rest
שינה,sleep
חלום,dream
סיוט,nightmare
התעוררות,awakening
עייפות,tiredness
אנרגיה,energy
כוח,strength
חולשה,weakness
בריאות,health
מחלה,illness
כאב,pain
סבל,suffering
ריפוי,healing
החלמה,recovery
תרופה,medicine
טיפול,treatment
רופא,doctor
בית חולים,hospital
מרפאה,clinic
בדיקה,examination
אבחנה,diagnosis
מרשם,prescription
כדור,pill
זריקה,injection
חיסון,vaccine
ניתוח,operation
הרדמה,anesthesia
דם,blood
בדיקת דם,blood test
צילום,x-ray
אולטרסאונד,ultrasound
סריקה,scan
ביופסיה,biopsy
סרטן,cancer
גידול,tumor
כימותרפיה,chemotherapy
הקרנות,radiation
השתלה,transplant
תורם,donor
מקבל,recipient
איבר,organ
רקמה,tissue
תא,cell
גן,gene
DNA,DNA
גנטיקה,genetics
תורשה,heredity
מוטציה,mutation
אבולוציה,evolution
מדע,science
מחקר,research
ניסוי,experiment
מעבדה,laboratory
מדען,scientist
פרופסור,professor
תיאוריה,theory
השערה,hypothesis
עובדה,fact
הוכחה,proof
ראיה,evidence
נתונים,data
סטטיסטיקה,statistics
ניתוח,analysis
מסקנה,conclusion
תוצאה,result
גילוי,discovery
המצאה,invention
פטנט,patent
טכנולוגיה,technology
חדשנות,innovation
התקדמות,progress
פיתוח,development
שיפור,improvement
שינוי,change
מהפכה,revolution
עידן,era
תקופה,period
היסטוריה,history
עבר,past
הווה,present
עתיד,future
זמן,time
רגע,moment
שנייה,second
דקה,minute
שעה,hour
יום,day
שבוע,week
חודש,month
שנה,year
עונה,season
עשור,decade
מאה,century
אלף,millennium
תאריך,date
לוח שנה,calendar
שעון,clock
שעון יד,watch
שעון מעורר,alarm clock
טיימר,timer
סטופר,stopwatch
זמן,time
מוקדם,early
מאוחר,late
בזמן,on time
איחור,delay
דחייה,postponement
ביטול,cancellation
תכנון,planning
ארגון,organization
סדר,order
כאוס,chaos
בלגן,mess
ניקיון,cleaning
סידור,arrangement
מיון,sorting
סיווג,classification
קטגוריה,category
קבוצה,group
סוג,type
מין,kind
דוגמה,example
מקרה,case
מצב,situation
נסיבות,circumstances
תנאים,conditions
דרישות,requirements
צרכים,needs
רצונות,wants
משאלה,wish
חלום,dream
שאיפה,aspiration
מטרה,goal
יעד,target
כיוון,direction
דרך,way
שיטה,method
אמצעי,means
כלי,tool
מכשיר,device
מנגנון,mechanism
מערכת,system
תהליך,process
שלב,stage
צעד,step
פעולה,action
מעשה,deed
התנהגות,behavior
מנהג,custom
מסורת,tradition
תרבות,culture
ערכים,values
אמונות,beliefs
דת,religion
אמונה,faith
אל,god
אלוהים,God
תפילה,prayer
ברכה,blessing
קללה,curse
נס,miracle
גורל,fate
מזל,luck
מקרה,coincidence
סיכוי,chance
הסתברות,probability
אפשרות,possibility
בחירה,choice
החלטה,decision
שיקול דעת,judgment
חוכמה,wisdom
טיפשות,foolishness
שכל,intelligence
בורות,ignorance
ידע,knowledge
מידע,information
נתונים,data
עובדות,facts
פרטים,details
תיאור,description
הסבר,explanation
הבהרה,clarification
הגדרה,definition
משמעות,meaning
חשיבות,importance
ערך,value
איכות,quality
כמות,quantity
מידה,measure
גודל,size
צורה,shape
מבנה,structure
דפוס,pattern
עיצוב,design
סגנון,style
אופי,character
אישיות,personality
טמפרמנט,temperament
מצב רוח,mood
רגש,emotion
תחושה,feeling
חוש,sense
תפיסה,perception
מודעות,awareness
תשומת לב,attention
ריכוז,concentration
זיכרון,memory
שכחה,forgetfulness
למידה,learning
הבנה,understanding
תובנה,insight
השראה,inspiration
יצירתיות,creativity
דמיון,imagination
פנטזיה,fantasy
מציאות,reality
אשליה,illusion
חזון,vision
נקודת מבט,perspective
דעה,opinion
עמדה,position
גישה,approach
יחס,attitude
התייחסות,relation
קשר,connection
זיקה,affinity
דמיון,similarity
הבדל,difference
ניגוד,contrast
השוואה,comparison
יחס,ratio
פרופורציה,proportion
איזון,balance
הרמוניה,harmony
סימטריה,symmetry
יופי,beauty
אסתטיקה,aesthetics
אמנות,art
יצירה,creation
יצירת אמנות,artwork
ציור,painting
פסל,sculpture
צילום,photography
קולנוע,cinema
תיאטרון,theater
ריקוד,dance
מוזיקה,music
שירה,poetry
פרוזה,prose
ספרות,literature
סיפור,story
רומן,novel
שיר,poem
מחזה,play
אופרה,opera
בלט,ballet
קונצרט,concert
תערוכה,exhibition
גלריה,gallery
מוזיאון,museum
אוסף,collection
יצירה,work
אמן,artist
יוצר,creator
מבצע,performer
קהל,audience
צופה,viewer
מאזין,listener
קורא,reader
מבקר,critic
ביקורת,criticism
שבח,praise
הערכה,appreciation
הכרה,recognition
פרס,prize
פרס,award
מדליה,medal
גביע,trophy
תעודה,certificate
כבוד,honor
תהילה,glory
מוניטין,reputation
שם טוב,good name
כבוד,respect
הערצה,admiration
קנאה,envy
קנאה,jealousy
תחרות,competition
יריבות,rivalry
שיתוף פעולה,cooperation
עבודת צוות,teamwork
שותפות,partnership
ברית,alliance
איחוד,union
חיבור,connection
קשר,bond
קרבה,closeness
אינטימיות,intimacy
פרטיות,privacy
סוד,secret
גילוי,revelation
אמון,trust
בגידה,betrayal
נאמנות,loyalty
מסירות,devotion
הקרבה,sacrifice
נדיבות,generosity
קמצנות,stinginess
חמדנות,greed
תאווה,lust
תשוקה,desire
רצון,will
כוונה,intention
מניע,motive
סיבה,reason
תכלית,purpose
משמעות,meaning
חשיבות,significance
השפעה,influence
השפעה,impact
תוצאה,consequence
השלכה,implication
מסקנה,conclusion
סוף,end
התחלה,beginning
מקור,origin
שורש,root
בסיס,basis
יסוד,foundation
עיקרון,principle
חוק,law
כלל,rule
תקנה,regulation
הנחיה,guideline
הוראה,instruction
פקודה,command
בקשה,request
הצעה,suggestion
המלצה,recommendation
עצה,advice
טיפ,tip
רמז,hint
סימן,sign
אות,signal
סימבול,symbol
סמל,emblem
דגל,flag
לוגו,logo
מותג,brand
שם מסחרי,trademark
זכויות יוצרים,copyright
רישיון,license
היתר,permit
אישור,approval
הסכמה,consent
הסכם,agreement
חוזה,contract
עסקה,deal
מסחר,trade
מסחר,commerce
עסקים,business
תעשייה,industry
כלכלה,economy
שוק,market
ביקוש,demand
היצע,supply
מחיר,price
עלות,cost
הוצאה,expense
הכנסה,income
רווח,profit
הפסד,loss
חוב,debt
אשראי,credit
הון,capital
נכס,asset
התחייבות,liability
תקציב,budget
חיסכון,savings
השקעה,investment
תשואה,return
סיכון,risk
ביטוח,insurance
פיצוי,compensation
דיבידנד,dividend
ריבית,interest
אינפלציה,inflation
דפלציה,deflation
מיתון,recession
משבר,crisis
צמיחה,growth
פיתוח,development
התרחבות,expansion
התכווצות,contraction
ייצור,production
צריכה,consumption
יבוא,import
יצוא,export
סחר,trade
מכס,customs
מס,tax
מע״מ,VAT
הנחה,discount
מבצע,sale
פרסום,advertising
שיווק,marketing
מכירות,sales
לקוח,customer
צרכן,consumer
ספק,supplier
יצרן,manufacturer
מפיץ,distributor
קמעונאי,retailer
סיטונאי,wholesaler
תיווך,mediation
נציג,representative
סוכן,agent
מתווך,broker
יועץ,consultant
מומחה,expert
מקצוען,professional
חובבן,amateur
מתחיל,beginner
מתקדם,advanced
מנוסה,experienced
מיומן,skilled
מוכשר,talented
מחונן,gifted
גאון,genius
טיפש,fool
חכם,wise
נבון,intelligent
פיקח,clever
ערמומי,cunning
תמים,naive
פשוט,simple
מורכב,complicated
קשה,difficult
קל,easy
פשוט,straightforward
ברור,clear
מעורפל,vague
מדויק,precise
גס,rough
עדין,delicate
רך,soft
קשה,hard
חזק,strong
חלש,weak
עוצמתי,powerful
חסר אונים,powerless
יעיל,efficient
לא יעיל,inefficient
פרודוקטיבי,productive
עצלן,lazy
חרוץ,diligent
נמרץ,energetic
עייף,tired
ער,awake
ישן,asleep
ערני,alert
מרוכז,focused
מפוזר,distracted
קשוב,attentive
מתעלם,ignoring
מעוניין,interested
משועמם,bored
נלהב,enthusiastic
אדיש,indifferent
מרוצה,satisfied
מאוכזב,disappointed
שמח,happy
עצוב,sad
כועס,angry
רגוע,calm
לחוץ,stressed
מודאג,worried
פוחד,afraid
אמיץ,brave
ביישן,shy
בטוח בעצמו,confident
גאה,proud
צנוע,modest
יהיר,arrogant
שפל,humble
מנומס,polite
גס רוח,rude
אדיב,kind
אכזרי,cruel
רחמן,merciful
קשוח,harsh
סלחן,forgiving
נוקם,vengeful
שקט,quiet
רועש,noisy
חרישי,silent
קולני,loud
עדין,gentle
אלים,violent
שליו,peaceful
סוער,stormy
יציב,stable
משתנה,changing
קבוע,permanent
זמני,temporary
נצחי,eternal
חולף,passing
מהיר,quick
איטי,slow
מיידי,immediate
מושהה,delayed
מוקדם,early
מאוחר,late
בזמן,on time
דחוף,urgent
חשוב,important
טריוויאלי,trivial
משמעותי,significant
זניח,negligible
עצום,enormous
זעיר,tiny
ענק,giant
ננסי,dwarf
רחב,wide
צר,narrow
עמוק,deep
רדוד,shallow
גבוה,tall
נמוך,short
ארוך,long
קצר,brief
רחב,broad
דק,thin
עבה,thick
שמן,fat
רזה,thin
כבד,heavy
קל,light
צפוף,dense
דליל,sparse
מלא,full
ריק,empty
עשיר,rich
עני,poor
יקר,expensive
זול,cheap
יקר ערך,valuable
חסר ערך,worthless
שימושי,useful
חסר תועלת,useless
מעשי,practical
תיאורטי,theoretical
אמיתי,real
דמיוני,imaginary
קונקרטי,concrete
מופשט,abstract
כללי,general
ספציפי,specific
רחב,broad
מצומצם,narrow
פתוח,open
סגור,closed
נעול,locked
פתוח,unlocked
חופשי,free
כלוא,imprisoned
עצמאי,independent
תלוי,dependent
בודד,alone
מלווה,accompanied
יחיד,single
מרובה,multiple
פשוט,simple
מורכב,complex
בסיסי,basic
מתקדם,advanced
ראשוני,primary
משני,secondary
ראשי,main
משני,minor
מרכזי,central
היקפי,peripheral
פנימי,internal
חיצוני,external
מקומי,local
זר,foreign
לאומי,national
בינלאומי,international
גלובלי,global
אזורי,regional
עירוני,urban
כפרי,rural
ציבורי,public
פרטי,private
רשמי,official
לא רשמי,unofficial
חוקי,legal
בלתי חוקי,illegal
מוסרי,moral
לא מוסרי,immoral
אתי,ethical
לא אתי,unethical
צודק,just
לא צודק,unjust
הוגן,fair
לא הוגן,unfair
שווה,equal
לא שווה,unequal
דומה,similar
שונה,different
זהה,identical
מנוגד,opposite
תואם,compatible
לא תואם,incompatible
עקבי,consistent
לא עקבי,inconsistent
יציב,stable
לא יציב,unstable
בטוח,safe
מסוכן,dangerous
בריא,healthy
חולני,unhealthy
נקי,clean
מזוהם,polluted
טהור,pure
מזוהם,contaminated
טרי,fresh
מקולקל,spoiled
חדש,new
משומש,used
מודרני,modern
עתיק,ancient
עכשווי,contemporary
היסטורי,historical
עתידי,future
עבר,past
נוכחי,present
קודם,previous
הבא,next
אחרון,last
ראשון,first
אמצעי,middle
קיצוני,extreme
מתון,moderate
רדיקלי,radical
שמרני,conservative
ליברלי,liberal
פרוגרסיבי,progressive
מסורתי,traditional
חדשני,innovative
שמרן,conservative
מהפכני,revolutionary
